file,word,speaker,gender
26/0_26_18.wav,0,26,female
26/8_26_10.wav,8,26,female
26/8_26_45.wav,8,26,female
26/2_26_6.wav,2,26,female
26/8_26_29.wav,8,26,female
26/2_26_19.wav,2,26,female
26/3_26_27.wav,3,26,female
26/3_26_12.wav,3,26,female
26/6_26_31.wav,6,26,female
26/0_26_44.wav,0,26,female
26/5_26_46.wav,5,26,female
26/2_26_29.wav,2,26,female
26/0_26_16.wav,0,26,female
26/5_26_49.wav,5,26,female
26/5_26_30.wav,5,26,female
26/6_26_27.wav,6,26,female
26/0_26_24.wav,0,26,female
26/6_26_7.wav,6,26,female
26/8_26_41.wav,8,26,female
26/9_26_9.wav,9,26,female
26/4_26_45.wav,4,26,female
26/1_26_2.wav,1,26,female
26/0_26_46.wav,0,26,female
26/2_26_1.wav,2,26,female
26/1_26_34.wav,1,26,female
26/6_26_36.wav,6,26,female
26/7_26_15.wav,7,26,female
26/0_26_26.wav,0,26,female
26/3_26_21.wav,3,26,female
26/0_26_35.wav,0,26,female
26/8_26_15.wav,8,26,female
26/9_26_44.wav,9,26,female
26/5_26_37.wav,5,26,female
26/8_26_22.wav,8,26,female
26/6_26_47.wav,6,26,female
26/8_26_8.wav,8,26,female
26/0_26_14.wav,0,26,female
26/5_26_11.wav,5,26,female
26/4_26_48.wav,4,26,female
26/5_26_40.wav,5,26,female
26/4_26_18.wav,4,26,female
26/7_26_5.wav,7,26,female
26/4_26_14.wav,4,26,female
26/7_26_7.wav,7,26,female
26/3_26_47.wav,3,26,female
26/8_26_30.wav,8,26,female
26/1_26_8.wav,1,26,female
26/1_26_1.wav,1,26,female
26/7_26_42.wav,7,26,female
26/1_26_18.wav,1,26,female
26/7_26_24.wav,7,26,female
26/7_26_46.wav,7,26,female
26/1_26_19.wav,1,26,female
26/6_26_5.wav,6,26,female
26/9_26_35.wav,9,26,female
26/3_26_0.wav,3,26,female
26/2_26_35.wav,2,26,female
26/9_26_24.wav,9,26,female
26/5_26_43.wav,5,26,female
26/8_26_44.wav,8,26,female
26/2_26_11.wav,2,26,female
26/1_26_28.wav,1,26,female
26/6_26_11.wav,6,26,female
26/9_26_19.wav,9,26,female
26/1_26_7.wav,1,26,female
26/6_26_30.wav,6,26,female
26/5_26_3.wav,5,26,female
26/7_26_33.wav,7,26,female
26/9_26_28.wav,9,26,female
26/3_26_7.wav,3,26,female
26/7_26_44.wav,7,26,female
26/9_26_49.wav,9,26,female
26/4_26_6.wav,4,26,female
26/4_26_13.wav,4,26,female
26/6_26_48.wav,6,26,female
26/0_26_12.wav,0,26,female
26/4_26_28.wav,4,26,female
26/7_26_11.wav,7,26,female
26/4_26_9.wav,4,26,female
26/2_26_43.wav,2,26,female
26/9_26_14.wav,9,26,female
26/5_26_22.wav,5,26,female
26/0_26_42.wav,0,26,female
26/9_26_0.wav,9,26,female
26/0_26_37.wav,0,26,female
26/4_26_17.wav,4,26,female
26/3_26_22.wav,3,26,female
26/6_26_19.wav,6,26,female
26/7_26_12.wav,7,26,female
26/8_26_5.wav,8,26,female
26/5_26_18.wav,5,26,female
26/5_26_6.wav,5,26,female
26/4_26_15.wav,4,26,female
26/1_26_38.wav,1,26,female
26/2_26_15.wav,2,26,female
26/3_26_42.wav,3,26,female
26/5_26_27.wav,5,26,female
26/6_26_18.wav,6,26,female
26/2_26_20.wav,2,26,female
26/4_26_10.wav,4,26,female
26/3_26_46.wav,3,26,female
26/8_26_1.wav,8,26,female
26/1_26_33.wav,1,26,female
26/6_26_42.wav,6,26,female
26/3_26_38.wav,3,26,female
26/5_26_19.wav,5,26,female
26/7_26_28.wav,7,26,female
26/7_26_9.wav,7,26,female
26/6_26_32.wav,6,26,female
26/8_26_32.wav,8,26,female
26/2_26_10.wav,2,26,female
